feature,loading,abs_loading
V18994,0.02107875048055997,0.02107875048055997
V21367,0.02096637519492727,0.02096637519492727
V9126,0.02082057521703391,0.02082057521703391
V2521,0.02080944660866878,0.02080944660866878
V2522,0.02080944660866878,0.02080944660866878
V3171,0.02066676891628005,0.02066676891628005
V4718,0.02049468698332512,0.02049468698332512
V1533,0.02035768367545094,0.02035768367545094
V1200,0.02030420692980817,0.02030420692980817
V1009,0.02025324377923917,0.02025324377923917
V1010,0.02025324377923917,0.02025324377923917
V495,0.02022685956653299,0.02022685956653299
V4377,0.02018308858517397,0.02018308858517397
V704,0.02014914179284954,0.02014914179284954
V4240,0.01997557598756836,0.01997557598756836
V11875,0.01987336826310686,0.01987336826310686
V20268,0.01986690329152308,0.01986690329152308
V3627,0.01965252227394959,0.01965252227394959
V1339,0.01964927959055349,0.01964927959055349
V10312,0.01960351442528084,0.01960351442528084
