protein,loading,abs_loading
V726,-0.05454290853293234,0.05454290853293234
V528,-0.05449525021923011,0.05449525021923011
V1527,-0.05334797904721064,0.05334797904721064
V1320,-0.05298014618023169,0.05298014618023169
V2563,-0.0523997330546262,0.0523997330546262
V1049,-0.05230753431521426,0.05230753431521426
V1771,-0.05213025134697102,0.05213025134697102
V1451,-0.05201655181464168,0.05201655181464168
V1883,-0.05183151242653338,0.05183151242653338
V2593,-0.05167453302106742,0.05167453302106742
V2950,-0.05164771947567378,0.05164771947567378
V1702,-0.05080790625348609,0.05080790625348609
V2914,-0.05073415633034511,0.05073415633034511
V2827,-0.0507086921514654,0.0507086921514654
V1232,-0.0505704045470571,0.0505704045470571
V641,-0.05007343498589021,0.05007343498589021
V2,-0.04965800231320023,0.04965800231320023
V2798,-0.04917666588356508,0.04917666588356508
V438,-0.04904363890569925,0.04904363890569925
V1503,-0.04898515706010512,0.04898515706010512
