gene,loading
V8809,-0.02088671020903467
V19617,-0.02044709736728591
V1460,-0.0194936352901196
V20564,-0.0192479835816326
V21523,-0.01924206835113894
V923,-0.0192176913879204
V23642,-0.01907429466525904
V8120,-0.01905339308226
V14599,-0.01900185412072285
V1688,-0.01899108554959743
V8335,-0.01896093731450249
V3808,-0.01893559533165794
V580,-0.01889400438099563
V18454,-0.01889246468001278
V3922,-0.01883828497050879
V19680,-0.01881761125700418
V7257,-0.01878605426725336
V13167,-0.01877253435031045
V24567,-0.01868951862839616
V584,-0.01866306910646429
V15956,-0.01865321078070741
V7073,-0.01862493842342948
V15676,-0.0186202824937723
V2217,-0.01850650980380133
V25390,-0.01850643772649543
V9130,-0.01849677540519772
V14327,-0.01849295948815675
V9938,-0.01848232647576244
V2143,-0.01845119072682831
V5680,0.01844243385364763
V8777,-0.01841051068878806
V14684,-0.01839936373289624
V11138,-0.01837481461741613
V12766,-0.01835064177493915
V5941,-0.01834365553827277
V18420,-0.01833664704296098
V22051,-0.01832520716002104
V18612,-0.01831271306371041
V7761,0.01828677863408136
V7617,-0.01827364269517029
V4036,-0.01827029694217701
V748,-0.01826855429616518
V11038,-0.01825249155984951
V16014,-0.01824199121553488
V18311,-0.01823357149201974
V9099,-0.01823236778492568
V13878,-0.01821494250124864
V18845,-0.01820571636139984
V13147,-0.01820462845948063
V25216,-0.0181886261412729
